"특성별(1)",2014,2014,2017,2017,2020,2020
"특성별(1)",응답자수 (명),현재 참여 중 (%),응답자수 (명),현재 참여 중 (%),응답자수 (명),현재 참여 중 (%)
"전체",10279,4.3,10073,6.7,10097,7.9
