"행정구역별","성별","연령별",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"행정구역별","성별","연령별",취업 1인가구(15세 이상)-계,관리자,전문가 및 관련 종사자,사무 종사자,서비스 종사자,판매 종사자,농림어업 숙련 종사자,기능원 및 관련 기능 종사자,장치·기계조작 및 조립 종사자,단순 노무 종사자,기타
"전국","계","합계",4109902,26077,883897,786364,551463,400172,138491,366781,468436,468192,20029
"전국","계","65~69세",181482,967,10377,13143,35079,14619,21505,13868,19513,52401,10
"전국","계","70세 이상",212554,671,7182,8316,25922,13200,46579,7051,8618,95015,-
