사업유형,사업번호,사업년도,사업명,홈페이지모집시작일자,홈페이지모집종료일자,홈페이지공고시작일,홈페이지공고종료일,홈페이지담당자명,홈페이지모집인원수,삭제여부
사회서비스형,2021-00383,2021,노인맞춤돌봄 서비스 지원단,2020-11-30 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,이한경,5,N
사회서비스형,2021-00395,2021,복지관 식당 이용지원단(할매손길),2020-11-30 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,이한경,38,N
공익활동형,2021-00299,2021,공공시설 봉사단,2020-11-30 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,이한경,115,N
공익활동형,2021-00323,2021,징검다리 봉사단(경륜전수활동팀),2020-11-30 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,이한경,10,N
공익활동형,2021-00284,2021,보육시설 봉사단(보육시설 도우미),2020-11-30 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,이한경,46,N
공익활동형,2021-00315,2021,복지시설 봉사단(나눔 봉사단),2020-11-30 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,이한경,75,N
사회서비스형,2021-00335,2021,복지관 업무 지원단(안내데스크),2020-11-30 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,이한경,2,N
사회서비스형,2021-00350,2021,시니어 안전 모니터링,2020-11-30 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,이한경,3,N
사회서비스형,2021-48756,2021,온종일돌봄시설지원(청산지역아동센터),2021-08-23 00:00:00,2021-08-27 00:00:00,2021-08-11 00:00:00,2021-08-27 00:00:00,이효선,1,N
사회서비스형,2021-48798,2021,노인일자리 안전 서포터즈,2021-08-01 00:00:00,2021-08-27 00:00:00,2021-08-01 00:00:00,2021-08-27 00:00:00,이효선,4,N
사회서비스형,2021-48789,2021,힐링센터업무도우미,2021-08-23 00:00:00,2021-08-27 00:00:00,2021-08-11 00:00:00,2021-08-27 00:00:00,이효선,2,N
사회서비스형,2021-48782,2021,노인일자리 안전 서포터즈,2021-08-23 00:00:00,2021-08-27 00:00:00,2021-08-11 00:00:00,2021-08-27 00:00:00,이효선,4,Y
사회서비스형,2021-48704,2021,보육시설 업무보조 도우미,2021-08-23 00:00:00,2021-08-27 00:00:00,2021-08-11 00:00:00,2021-08-27 00:00:00,이효선,3,N
사회서비스형,2021-48810,2021,다함께돌봄시설학습도우미,2021-08-23 00:00:00,2021-08-27 00:00:00,2021-08-11 00:00:00,2021-08-27 00:00:00,이효선,1,N
공익활동형,2021-01640,2021,경로당활동지원(쿡클린서비스),2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-31 00:00:00,최인선,150,N
공익활동형,2021-01796,2021,경로당환경관리서비스,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,최인선,300,N
공익활동형,2021-04253,2021,공공기관가꾸미,2020-11-30 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,강은주,52,N
시장형,2021-04072,2021,향수할매식당,2020-11-30 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,"오재석,성윤호",31,N
공익활동형,2021-04357,2021,우리고을우리문화재,2020-11-30 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,강은주,28,N
시장형,2021-04228,2021,공동작업장 운영사업(위드하우스공동작업장),2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,"오재석,성윤호",36,N
시장형,2021-04311,2021,수변구역 환경보호 및 환경정비(맑은대청지킴이),2020-11-30 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,성윤호,20,N
공익활동형,2021-04379,2021,푸른대청지킴이,2020-11-30 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,강은주,64,N
공익활동형,2021-04369,2021,친환경EM홍보,2020-11-30 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,강은주,36,N
공익활동형,2021-04363,2021,우리마을가꾸미,2020-11-30 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,강은주,97,N
공익활동형,2021-04345,2021,스쿨존교통지원,2020-11-30 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,강은주,106,N
공익활동형,2021-04384,2021,함께하는 터,2020-11-30 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,강은주,57,N
공익활동형,2021-04336,2021,거리질서단,2020-11-30 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,강은주,78,N
공익활동형,2021-04348,2021,아이사랑도우미,2020-11-30 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,강은주,60,N
공익활동형,2021-48995,2021,우리마을가꾸미(추경),2021-08-16 00:00:00,2021-08-27 00:00:00,2021-08-16 00:00:00,2021-08-27 00:00:00,강은주,20,N
공익활동형,2021-00046,2021,9988행복지키미,2020-11-30 00:00:00,2020-12-04 00:00:00,2020-11-23 00:00:00,2020-12-04 00:00:00,박종용,310,N
사회서비스형,2021-48654,2021,온종일돌봄시설지원(지역아동센터지원),2021-08-16 00:00:00,2021-08-20 00:00:00,2021-08-16 00:00:00,2021-08-20 00:00:00,이정욱,7,N
사회서비스형,2021-09761,2021,노인관련시설지원(노인복지관련단체 및 시설),2021-01-04 00:00:00,2021-01-08 00:00:00,2020-12-28 00:00:00,2021-01-08 00:00:00,이정욱,4,N
