사업유형,사업번호,사업년도,사업명,홈페이지모집시작일자,홈페이지모집종료일자,홈페이지공고시작일,홈페이지공고종료일,홈페이지담당자명,홈페이지모집인원수,삭제여부
공익활동형,2021-47568,2021,따수미,2021-08-16 00:00:00,2021-08-20 00:00:00,2021-08-02 00:00:00,2021-08-31 00:00:00,배아현,20,N
공익활동형,2021-49610,2021,태안관광지킴이(추가),2021-08-13 00:00:00,2021-08-25 00:00:00,2021-08-13 00:00:00,2021-08-27 00:00:00,조은지,20,N
공익활동형,2021-00134,2021,시설도우미,2020-12-07 00:00:00,2020-12-18 00:00:00,2020-12-07 00:00:00,2020-12-18 00:00:00,임채완,152,N
공익활동형,2021-03372,2021,2021년 시각장애인 안내도우미사업,2020-12-07 00:00:00,2020-12-14 00:00:00,2020-12-07 00:00:00,2020-12-14 00:00:00,이은애,12,N
공익활동형,2021-28746,2021,공원지킴이,2021-02-22 00:00:00,2021-02-26 00:00:00,2021-02-22 00:00:00,2021-03-26 00:00:00,명가람,9,N
시장형,2021-09973,2021,천수만 공동작업장,2020-12-14 00:00:00,2020-12-28 00:00:00,2020-12-14 00:00:00,2020-12-28 00:00:00,명가람,20,N
시장형,2021-05558,2021,나대지를 활용한 어르신 도시농업사업단,2020-11-23 00:00:00,2020-11-27 00:00:00,2020-11-23 00:00:00,2020-11-27 00:00:00,이경애,35,N
공익활동형,2021-05498,2021,농수산물공동작업장사업단,2020-11-23 00:00:00,2020-11-27 00:00:00,2020-11-23 00:00:00,2020-11-27 00:00:00,김은희,35,Y
시장형,2021-46172,2021,토닥토닥식당,2021-06-01 00:00:00,2021-12-31 00:00:00,2021-06-01 00:00:00,2021-12-31 00:00:00,김향미,8,N
공익활동형,2021-48421,2021,깨끗한보물섬 공원가꾸기2,2021-08-16 00:00:00,2021-08-20 00:00:00,2021-08-16 00:00:00,2021-08-20 00:00:00,김세영,60,N
공익활동형,2021-09370,2021,전통문화 계승활동 2,2020-12-15 00:00:00,2020-12-18 00:00:00,2020-12-15 00:00:00,2020-12-18 00:00:00,이정원,180,N
공익활동형,2021-09369,2021,전통문화계승활동 1,2020-12-15 00:00:00,2020-12-18 00:00:00,2020-12-15 00:00:00,2020-12-18 00:00:00,이정원,180,N
시장형,2021-06845,2021,은빛식당,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,이지헌,14,N
시장형,2021-06898,2021,은빛일터,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,은지민,30,N
시장형,2021-00652,2021,꽈배기나라1호점,2020-12-07 00:00:00,2020-12-18 00:00:00,2020-12-07 00:00:00,2020-12-18 00:00:00,이윤선,8,N
시장형,2021-00736,2021,새싹배움터,2020-12-07 00:00:00,2020-12-18 00:00:00,2020-12-07 00:00:00,2020-12-18 00:00:00,이수현,39,N
시장형,2021-00682,2021,꽈배기나라2호점,2020-12-07 00:00:00,2020-12-18 00:00:00,2020-12-07 00:00:00,2020-12-18 00:00:00,이윤선,6,N
공익활동형,2021-04387,2021,도서관청소도우미,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,이수민,20,N
시장형,2021-03982,2021,적토마지하철택배 사업,2020-11-30 00:00:00,2020-12-04 00:00:00,2020-11-30 00:00:00,2020-12-04 00:00:00,김효정,20,N
사회서비스형,2021-19470,2021,해드림돌봄,2021-01-01 00:00:00,2021-01-31 00:00:00,2021-01-01 00:00:00,2021-01-31 00:00:00,안창숙,20,Y
공익활동형,2021-01200,2021,스쿨존교통지원사업 (새싹수호천사사업),2020-12-01 00:00:00,2020-12-18 00:00:00,2020-12-01 00:00:00,2020-12-18 00:00:00,이정향,270,N
공익활동형,2021-06422,2021,동환경도우미,2020-12-14 00:00:00,2020-12-25 00:00:00,2020-12-07 00:00:00,2020-12-25 00:00:00,남병조,2416,Y
공익활동형,2021-05379,2021,노노케어1(우리고을실버봉사단),2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,이정옥,415,N
공익활동형,2021-05398,2021,복지시설봉사(요리조리봉사단),2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,이정옥,415,N
공익활동형,2021-05411,2021,초등학교급식도우미1(사랑의 밥퍼봉사단),2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,이정옥,415,N
공익활동형,2021-05386,2021,공공시설봉사1(우리고을환경지킴이봉사단),2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,이정옥,415,N
공익활동형,2021-05417,2021,스쿨존교통지원6(스쿨존지킴이봉사단),2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,이정옥,415,N
공익활동형,2021-05390,2021,복지시설봉사1(시설지킴이봉사단),2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,이정옥,415,N
공익활동형,2021-05523,2021,초등급식도우미,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,유지혜,392,N
사회서비스형,2021-48892,2021,다함께육아지원사업,2021-08-16 00:00:00,2021-08-16 00:00:00,2021-08-16 00:00:00,2021-08-16 00:00:00,조은경,3,Y
시장형,2021-03898,2021,은모아금모아,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,강은희,37,N
사회서비스형,2021-10581,2021,노인복지시설지원사업,2020-12-28 00:00:00,2021-01-15 00:00:00,2020-12-28 00:00:00,2021-01-15 00:00:00,김완구,20,N
시장형,2021-40705,2021,프렌차이즈 피자배달전문점포 운영사업(피자스쿨),2021-06-23 00:00:00,2021-07-06 00:00:00,2021-06-23 00:00:00,2021-07-06 00:00:00,홍서웅,18,N
사회서비스형,2021-50170,2021,가정 및 세대간 서비스(아이돌봄도우미 - A),2021-08-24 00:00:00,2021-08-31 00:00:00,2021-08-24 00:00:00,2021-08-31 00:00:00,정주연,10,N
사회서비스형,2021-10806,2021,가정 및 세대간 서비스(아이돌봄도우미),2021-01-04 00:00:00,2021-01-15 00:00:00,2020-12-28 00:00:00,2021-01-15 00:00:00,송지현,20,N
공익활동형,2021-06176,2021,초등학교 급식도우미,2020-12-08 00:00:00,2020-12-22 00:00:00,2020-12-04 00:00:00,2020-12-22 00:00:00,김정숙,1632,N
공익활동형,2021-06304,2021,성동사랑스토리텔링,2020-12-08 00:00:00,2020-12-22 00:00:00,2020-12-04 00:00:00,2020-12-22 00:00:00,김정숙,1706,N
공익활동형,2021-06272,2021,실버그린지킴이,2020-12-08 00:00:00,2020-12-22 00:00:00,2020-12-04 00:00:00,2020-12-22 00:00:00,김정숙,1632,N
공익활동형,2021-06296,2021,스쿨존 교통지도사업,2020-12-08 00:00:00,2020-12-22 00:00:00,2020-12-04 00:00:00,2020-12-22 00:00:00,김정숙,1632,N
공익활동형,2021-04789,2021,복지시설지원사업,2020-12-08 00:00:00,2020-12-22 00:00:00,2020-12-08 00:00:00,2020-12-22 00:00:00,김선미,82,N
공익활동형,2021-04785,2021,독거노인돌봄지원사업,2020-12-08 00:00:00,2020-12-22 00:00:00,2020-12-08 00:00:00,2020-12-22 00:00:00,김선미,20,N
공익활동형,2021-04787,2021,지역아동센터지원사업,2020-12-08 00:00:00,2020-12-22 00:00:00,2020-12-08 00:00:00,2020-12-22 00:00:00,김선미,28,N
공익활동형,2021-04791,2021,도서관관리지원사업,2020-12-08 00:00:00,2020-12-22 00:00:00,2020-12-08 00:00:00,2020-12-22 00:00:00,김선미,20,N
사회서비스형,2021-10425,2021,서울형 행복드림돌봄서비스사업단,2020-12-28 00:00:00,2021-01-15 00:00:00,2020-12-24 00:00:00,2021-01-15 00:00:00,송미령,30,N
공익활동형,2021-48736,2021,학교급식지원봉사(학식나누미),2021-08-17 00:00:00,2021-08-27 00:00:00,2021-08-13 00:00:00,2021-08-27 00:00:00,신재문,87,Y
사회서비스형,2021-48757,2021,작은도서관 지원사업,2021-08-17 00:00:00,2021-08-27 00:00:00,2021-08-13 00:00:00,2021-08-27 00:00:00,신재문,58,N
공익활동형,2021-47712,2021,복지시설방역봉사,2021-08-16 00:00:00,2021-08-20 00:00:00,2021-08-02 00:00:00,2021-08-20 00:00:00,박다듬,3,N
공익활동형,2021-00827,2021,연중노노케어,2020-12-01 00:00:00,2020-12-18 00:00:00,2020-12-01 00:00:00,2020-12-18 00:00:00,정복희,50,N
공익활동형,2021-00845,2021,공공의료기관 및 복지시설 관리지원(Hello-senior),2020-12-01 00:00:00,2020-12-18 00:00:00,2020-12-01 00:00:00,2020-12-18 00:00:00,정복희,40,N
공익활동형,2021-00867,2021,예지선생님,2020-12-01 00:00:00,2020-12-18 00:00:00,2020-12-01 00:00:00,2020-12-18 00:00:00,김은숙,272,N
시장형,2021-05592,2021,아차산택배 ,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,박제형 ,20,N
공익활동형,2021-05807,2021,노노케어,2020-12-07 00:00:00,2020-12-11 00:00:00,2020-12-07 00:00:00,2020-12-11 00:00:00,신진오,80,N
공익활동형,2021-02637,2021,공공사업홍보단,2020-11-23 00:00:00,2020-12-11 00:00:00,2020-11-23 00:00:00,2020-12-11 00:00:00,최문주,50,N
공익활동형,2021-02663,2021,우리동네 생활방역,2020-11-23 00:00:00,2020-12-11 00:00:00,2020-11-23 00:00:00,2020-12-11 00:00:00,최문주,92,N
공익활동형,2021-00663,2021,경로당도우미,2020-11-30 00:00:00,2020-12-04 00:00:00,2020-11-30 00:00:00,2020-12-04 00:00:00,공현정,160,Y
공익활동형,2021-08008,2021,경로당도우미,2020-11-30 00:00:00,2020-12-04 00:00:00,2020-11-30 00:00:00,2020-12-04 00:00:00,공현정,160,N
공익활동형,2021-00195,2021,노노케어,2020-12-01 00:00:00,2020-12-14 00:00:00,2020-11-20 00:00:00,2020-12-14 00:00:00,성민송,25,N
공익활동형,2021-00209,2021,경로당돌봄이,2020-12-01 00:00:00,2020-12-14 00:00:00,2020-11-20 00:00:00,2020-12-14 00:00:00,성민송,160,N
공익활동형,2021-00199,2021,한궁지도,2020-12-01 00:00:00,2020-12-14 00:00:00,2020-11-20 00:00:00,2020-12-14 00:00:00,성민송,45,N
공익활동형,2021-00178,2021,산지킴이,2020-12-01 00:00:00,2020-12-14 00:00:00,2020-11-20 00:00:00,2020-12-14 00:00:00,성민송,80,N
공익활동형,2021-00160,2021,스쿨죤교통지도 ,2020-12-01 00:00:00,2020-12-14 00:00:00,2020-11-20 00:00:00,2020-12-14 00:00:00,성민송,40,N
공익활동형,2021-00170,2021,산지킴이,2020-12-01 00:00:00,2020-12-01 00:00:00,2020-11-20 00:00:00,2020-12-14 00:00:00,성민송,80,Y
공익활동형,2021-05994,2021,시설관리지원,2020-12-07 00:00:00,2020-12-09 00:00:00,2020-12-07 00:00:00,2020-12-09 00:00:00,채화엽,60,N
공익활동형,2021-06051,2021,수리산지킴이,2020-12-07 00:00:00,2020-12-09 00:00:00,2020-12-07 00:00:00,2020-12-09 00:00:00,채화엽,30,Y
공익활동형,2021-05163,2021,안심방역,2020-12-07 00:00:00,2020-12-09 00:00:00,2020-11-23 00:00:00,2020-12-09 00:00:00,김성순,200,N
시장형,2021-05912,2021,할매정성밥상,2020-12-07 00:00:00,2020-12-09 00:00:00,2020-12-07 00:00:00,2020-12-09 00:00:00,이난주,10,N
시장형,2021-05936,2021,할매정성밥상 중앙도서관점,2020-12-07 00:00:00,2020-12-09 00:00:00,2020-12-07 00:00:00,2020-12-09 00:00:00,민혜란,9,N
시장형,2021-02102,2021,엄마찬스,2020-12-01 00:00:00,2020-12-14 00:00:00,2020-11-20 00:00:00,2020-12-14 00:00:00,조은솔,15,N
시장형,2021-02038,2021,라커룸,2020-12-01 00:00:00,2020-12-14 00:00:00,2020-11-20 00:00:00,2020-12-14 00:00:00,조은솔,12,N
시장형,2021-00183,2021,마을공동작업장,2020-11-16 00:00:00,2020-12-31 00:00:00,2020-11-16 00:00:00,2021-01-29 00:00:00,엄미선,80,Y
시장형,2021-01282,2021,공동작업장1(천보마을),2020-11-16 00:00:00,2020-12-31 00:00:00,2020-11-16 00:00:00,2021-01-31 00:00:00,엄미선,60,N
사회서비스형,2021-48678,2021,노인시설도우미추경사업,2021-08-02 00:00:00,2021-08-20 00:00:00,2021-08-02 00:00:00,2021-08-20 00:00:00,장동녀,14,N
공익활동형,2021-01085,2021,시니어서비스,2020-12-01 00:00:00,2020-12-11 00:00:00,2020-12-01 00:00:00,2020-12-11 00:00:00,최지연,40,Y
공익활동형,2021-47633,2021,클린이천(추경),2021-08-16 00:00:00,2021-08-20 00:00:00,2021-08-16 00:00:00,2021-08-20 00:00:00,박정선,33,N
공익활동형,2021-11095,2021,보육교사 도우미,2021-01-12 00:00:00,2021-01-18 00:00:00,2021-01-12 00:00:00,2021-01-18 00:00:00,박현주,150,N
공익활동형,2021-11105,2021,공공시설 가꿈이,2021-01-12 00:00:00,2021-01-18 00:00:00,2021-01-12 00:00:00,2021-01-18 00:00:00,손정민,100,Y
시장형,2021-39177,2021,올드장금씨댁반찬,2021-03-25 00:00:00,2021-04-07 00:00:00,2021-03-25 00:00:00,2021-04-07 00:00:00,고준옥,16,N
시장형,2021-44543,2021,달빛트레인(커피찌꺼기 재활용사업),2021-07-01 00:00:00,2021-07-09 00:00:00,2021-06-28 00:00:00,2021-07-09 00:00:00,유민경,12,Y
공익활동형,2021-07897,2021,1-3세대강사파견,2020-12-03 00:00:00,2020-12-11 00:00:00,2020-11-27 00:00:00,2020-12-11 00:00:00,이경행,415,N
공익활동형,2021-07903,2021,노노케어(아미),2020-12-03 00:00:00,2020-12-11 00:00:00,2020-11-27 00:00:00,2020-12-11 00:00:00,이경행,415,N
공익활동형,2021-03100,2021,공공의료 및 복지시설봉사,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-18 00:00:00,2020-12-18 00:00:00,이경희,24,N
공익활동형,2021-02984,2021,스쿨존 및 교통안전취약지역 교통안전지도,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-18 00:00:00,2020-12-18 00:00:00,이준희,70,N
공익활동형,2021-03161,2021,지역사회안전망구축지원사업,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-18 00:00:00,2020-12-18 00:00:00,이준희,32,N
공익활동형,2021-03019,2021,지역아동센터 봉사,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-18 00:00:00,2020-12-18 00:00:00,이준희,16,N
시장형,2021-04187,2021,셀프세탁 및 카페휴게실,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-12-31 00:00:00,최은화,18,N
공익활동형,2021-05885,2021,지역사회 환경개선 봉사,2020-11-30 00:00:00,2020-12-18 00:00:00,2020-11-16 00:00:00,2020-12-18 00:00:00,김민재,420,N
공익활동형,2021-05937,2021,노노케어,2020-11-30 00:00:00,2020-12-18 00:00:00,2020-11-16 00:00:00,2020-12-18 00:00:00,김연진,40,N
공익활동형,2021-06130,2021,공공의료 및 복지시설 봉사,2020-11-30 00:00:00,2020-12-18 00:00:00,2020-11-16 00:00:00,2020-12-18 00:00:00,최미정,30,N
공익활동형,2021-06201,2021,주정차질서 계도봉사,2020-11-30 00:00:00,2020-12-18 00:00:00,2020-11-16 00:00:00,2020-12-18 00:00:00,최미정,10,N
공익활동형,2021-01829,2021,공공복지시설도우미,2020-11-30 00:00:00,2020-12-18 00:00:00,2020-11-18 00:00:00,2020-12-18 00:00:00,윤예송,365,N
공익활동형,2021-01904,2021,중랑천환경지킴이,2020-11-30 00:00:00,2020-12-18 00:00:00,2020-11-17 00:00:00,2020-12-18 00:00:00,윤예송,365,N
공익활동형,2021-01795,2021,도란도란보듬이,2020-11-30 00:00:00,2020-12-18 00:00:00,2020-11-17 00:00:00,2020-12-18 00:00:00,윤예송,365,N
공익활동형,2021-01938,2021,체육시설관리지원단,2020-11-30 00:00:00,2020-12-18 00:00:00,2020-11-17 00:00:00,2020-12-18 00:00:00,윤예송,365,N
사회서비스형,2021-48612,2021,시니어안전모니터링,2021-08-12 00:00:00,2021-08-13 00:00:00,2021-08-12 00:00:00,2021-08-13 00:00:00,이종찬,9,N
사회서비스형,2021-48609,2021,시니어산재가이드,2021-08-12 00:00:00,2021-08-13 00:00:00,2021-08-12 00:00:00,2021-08-13 00:00:00,이종찬,2,N
사회서비스형,2021-48986,2021,공공행정업무지원사업,2021-08-17 00:00:00,2021-08-19 00:00:00,2021-08-11 00:00:00,2021-08-19 00:00:00,최미옥,61,N
사회서비스형,2021-48983,2021,기타시설2사업단,2021-08-17 00:00:00,2021-08-19 00:00:00,2021-08-11 00:00:00,2021-08-19 00:00:00,최미옥,61,N
시장형,2021-00028,2021,여담카페,2020-12-01 00:00:00,2020-12-31 00:00:00,2020-12-01 00:00:00,2020-12-31 00:00:00,정순희,24,N
공익활동형,2021-08085,2021,근린공원환경지킴이,2020-12-07 00:00:00,2020-12-15 00:00:00,2020-11-23 00:00:00,2020-12-15 00:00:00,장세림,50,N
공익활동형,2021-08084,2021,우리동네등산로지킴이,2020-12-07 00:00:00,2020-12-15 00:00:00,2020-11-23 00:00:00,2020-12-15 00:00:00,장세림,20,N
공익활동형,2021-08080,2021,은빛장애인수호대,2020-12-07 00:00:00,2020-12-15 00:00:00,2020-11-23 00:00:00,2020-12-15 00:00:00,장세림,40,Y
공익활동형,2021-08079,2021,지역아동센터도우미,2020-12-07 00:00:00,2020-12-15 00:00:00,2020-11-23 00:00:00,2020-12-15 00:00:00,장세림,30,N
공익활동형,2021-08078,2021,우리동네등산로지킴이,2020-12-07 00:00:00,2020-12-15 00:00:00,2020-11-23 00:00:00,2020-12-15 00:00:00,장세림,30,Y
공익활동형,2021-08086,2021,365우리동네지킴이,2020-12-07 00:00:00,2020-12-15 00:00:00,2020-11-23 00:00:00,2020-12-15 00:00:00,장세림,60,N
공익활동형,2021-08081,2021,은빛장애인수호대,2020-12-07 00:00:00,2020-12-15 00:00:00,2020-11-23 00:00:00,2020-12-15 00:00:00,장세림,40,N
공익활동형,2021-06285,2021,365우리동네지킴이,2020-12-07 00:00:00,2020-12-15 00:00:00,2020-11-23 00:00:00,2020-12-15 00:00:00,이소연,42,N
공익활동형,2021-06292,2021,대화서비스지원사업단,2020-12-07 00:00:00,2020-12-15 00:00:00,2020-11-23 00:00:00,2020-12-15 00:00:00,이소연,12,N
공익활동형,2021-06643,2021,스쿨존 등 학교지원봉사,2020-12-07 00:00:00,2020-12-15 00:00:00,2020-11-23 00:00:00,2020-12-15 00:00:00,박용만,48,N
공익활동형,2021-08199,2021,취약노인 일상생활 지원서비스 활동 (청결드림),2020-12-01 00:00:00,2020-12-18 00:00:00,2020-12-01 00:00:00,2020-12-18 00:00:00,정서연,14,N
공익활동형,2021-08183,2021,cctv관제사업 (드림키퍼),2020-12-01 00:00:00,2020-12-18 00:00:00,2020-12-01 00:00:00,2020-12-18 00:00:00,박지영,53,N
공익활동형,2021-08201,2021,공공시설봉사(주차드림),2020-12-01 00:00:00,2020-12-18 00:00:00,2020-12-01 00:00:00,2020-12-18 00:00:00,박지영,12,N
공익활동형,2021-08192,2021,보육시설 장난감소독 (토이사랑),2020-12-01 00:00:00,2020-12-18 00:00:00,2020-12-01 00:00:00,2020-12-18 00:00:00,박지영,30,N
시장형,2021-05799,2021,공동작업장3,2020-12-07 00:00:00,2020-12-11 00:00:00,2020-12-07 00:00:00,2020-12-11 00:00:00,배민진,28,Y
공익활동형,2021-00735,2021,한자지도사 ,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,이길순,20,N
시장형,2021-00862,2021,은빛미용실,2020-12-07 00:00:00,2020-12-18 00:00:00,2020-12-07 00:00:00,2020-12-18 00:00:00,이길순,11,N
공익활동형,2021-00715,2021,실버강사파견,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,이길순,35,Y
공익활동형,2021-11953,2021,숲생태해설,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,김정숙,30,N
시장형,2021-01045,2021,전통떡체험서포터즈,2020-12-07 00:00:00,2020-12-18 00:00:00,2020-12-07 00:00:00,2020-12-18 00:00:00,최태근,20,N
사회서비스형,2021-48436,2021,노인맞춤돌봄도우미(추경),2020-12-28 00:00:00,2021-01-15 00:00:00,2020-12-28 00:00:00,2021-01-15 00:00:00,한수진,10,N
사회서비스형,2021-48435,2021,노인시설도우미(추경),2020-12-28 00:00:00,2021-01-15 00:00:00,2020-12-28 00:00:00,2021-01-15 00:00:00,한수진,11,N
공익활동형,2021-02405,2021,공공마을클린사업,2020-12-07 00:00:00,2020-12-16 00:00:00,2020-12-01 00:00:00,2020-12-16 00:00:00,이창훈,50,N
공익활동형,2021-04834,2021,근린생활시설관리지원,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,김정철,395,N
공익활동형,2021-51480,2021,보행환경 개선 및 주차지도 사업단,2021-09-07 00:00:00,2021-09-30 00:00:00,2021-09-01 00:00:00,2021-11-30 00:00:00,표예지,54,N
공익활동형,2021-00988,2021,아름다운동행사업단,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-16 00:00:00,2020-12-24 00:00:00,박송아,60,Y
공익활동형,2021-01471,2021,눈동이 봉사단,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,전호근,850,N
공익활동형,2021-01663,2021,쉼터지킴이,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,전호근,300,N
공익활동형,2021-01807,2021,한마음 봉사단,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,전호근,9,N
공익활동형,2021-23226,2021,경로당 도우미,2020-12-01 00:00:00,2020-12-31 00:00:00,2020-12-01 00:00:00,2020-12-31 00:00:00,소영애,60,Y
시장형,2021-00127,2021,烋카페,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,안석현,15,N
사회서비스형,2021-28020,2021,일자리&복지&그린뉴딜 융합 사회복지서비스형 일자리사업(희망을 담는 빨래바구니),2021-02-22 00:00:00,2021-02-28 00:00:00,2021-02-22 00:00:00,2021-02-28 00:00:00,안석현,30,N
공익활동형,2021-04310,2021,힐링꽃단지사업단,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-16 00:00:00,2020-12-18 00:00:00,김주연,300,N
사회서비스형,2021-49702,2021,행정업무지원,2021-08-13 00:00:00,2021-08-31 00:00:00,2021-08-13 00:00:00,2021-08-31 00:00:00,김선화,13,N
사회서비스형,2021-49704,2021,"소독,방역 및 알파카 전동킥보드 안전교육활동",2021-08-13 00:00:00,2021-08-31 00:00:00,2021-08-13 00:00:00,2021-08-31 00:00:00,김선화,74,N
공익활동형,2021-08307,2021,지역아동센터생활지킴이,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-16 00:00:00,2020-12-18 00:00:00,김주연,10,N
사회서비스형,2021-50004,2021,노인관련시설지원,2021-08-23 00:00:00,2021-08-26 00:00:00,2021-08-23 00:00:00,2021-08-26 00:00:00,유미애,0,N
사회서비스형,2021-50002,2021,보육시설관리지원,2021-08-23 00:00:00,2021-08-26 00:00:00,2021-08-23 00:00:00,2021-08-26 00:00:00,유미애,0,N
공익활동형,2021-08736,2021,취약노인돌봄지원사업,2020-12-09 00:00:00,2020-12-24 00:00:00,2020-12-02 00:00:00,2020-12-24 00:00:00,이정원,200,N
시장형,2021-00026,2021,콩재배(도사리-콩콩콩),2020-12-01 00:00:00,2020-12-11 00:00:00,2020-12-01 00:00:00,2020-12-11 00:00:00,권미옥,5,N
사회서비스형,2021-10716,2021,희망을 담는 빨래바구니 ,2020-12-28 00:00:00,2021-01-11 00:00:00,2020-12-28 00:00:00,2021-01-11 00:00:00,오한동,20,N
공익활동형,2021-04032,2021,근린생활시설관리지원사업,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,최미숙,120,N
시장형,2021-04195,2021,삼척청명약과,2020-12-07 00:00:00,2020-12-18 00:00:00,2020-12-07 00:00:00,2020-12-18 00:00:00,이용선,171,N
사회서비스형,2021-03159,2021,시니어 컨설턴트 사업,2020-12-01 00:00:00,2021-01-22 00:00:00,2020-12-01 00:00:00,2021-01-22 00:00:00,손미라,10,N
시장형,2021-01724,2021,은빛미용실 중앙시장점,2020-12-08 00:00:00,2020-12-21 00:00:00,2020-12-01 00:00:00,2021-12-21 00:00:00,홍미영,10,N
공익활동형,2021-02159,2021,환경지킴이사업,2020-12-01 00:00:00,2020-12-16 00:00:00,2020-11-20 00:00:00,2020-12-16 00:00:00,이인숙,186,N
시장형,2021-05493,2021,아띠 - 오래된 친구 친한 친구,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,윤미순,8,N
시장형,2021-05431,2021,아띠 - 오래된 친구 친한 친구,2020-12-16 00:00:00,2020-12-20 00:00:00,2020-12-16 00:00:00,2020-12-20 00:00:00,윤미순,8,Y
시장형,2021-05934,2021,밥이오면,2021-01-01 00:00:00,2021-12-31 00:00:00,2021-01-01 00:00:00,2021-12-31 00:00:00,김시내,10,N
공익활동형,2021-05875,2021,문화재시설관리사업,2021-02-08 00:00:00,2021-02-12 00:00:00,2021-01-18 00:00:00,2021-02-12 00:00:00,한봉애,70,N
공익활동형,2021-07750,2021,교통지기,2020-11-27 00:00:00,2020-12-18 00:00:00,2020-11-27 00:00:00,2020-12-18 00:00:00,최이레,90,N
시장형,2021-09119,2021,홍주천년 별다방 ' 홍별',2020-11-26 00:00:00,2021-01-29 00:00:00,2020-11-26 00:00:00,2021-01-29 00:00:00,유성의,12,Y
시장형,2021-12130,2021,홍주천년 별다방 '홍별',2020-11-26 00:00:00,2020-12-31 00:00:00,2020-11-26 00:00:00,2020-12-31 00:00:00,유성의,12,Y
시장형,2021-08937,2021,홍주천년 별다방 '홍별',2020-11-26 00:00:00,2020-12-31 00:00:00,2020-11-26 00:00:00,2020-12-31 00:00:00,유성의,10,Y
시장형,2021-09985,2021,홍주천년 별다방 '홍별',2020-11-19 00:00:00,2020-12-31 00:00:00,2020-11-19 00:00:00,2020-12-31 00:00:00,유성의,12,Y
사회서비스형,2021-10090,2021,시니어 금융 업무 지원단,2021-01-04 00:00:00,2021-01-14 00:00:00,2021-01-01 00:00:00,2021-01-14 00:00:00,명가람,7,N
공익활동형,2021-10369,2021,버스승강장 지킴이 ,2020-12-07 00:00:00,2020-12-31 00:00:00,2020-12-07 00:00:00,2020-12-31 00:00:00,명가람,58,N
공익활동형,2021-10041,2021,아동보육시설지원사업(백화아이사랑),2020-12-16 00:00:00,2020-12-31 00:00:00,2020-12-16 00:00:00,2020-12-31 00:00:00,유승환,35,N
공익활동형,2021-10037,2021,공공의료 및 복지시설지원사업 (백화파트너),2020-12-16 00:00:00,2020-12-31 00:00:00,2020-12-16 00:00:00,2020-12-31 00:00:00,유승환,35,N
사회서비스형,2021-10083,2021,지역사회시설관리지원사업 (백화동행),2021-01-04 00:00:00,2021-01-11 00:00:00,2021-01-04 00:00:00,2021-01-11 00:00:00,유승환,30,N
공익활동형,2021-07767,2021,환경지킴이,2020-12-07 00:00:00,2020-12-18 00:00:00,2020-11-25 00:00:00,2020-12-18 00:00:00,임영관,35,N
